ID,製品カテゴリ,品番,管理番号,シリーズカテゴリ,シリーズ,シェイプ,,サイズ,,,,,,商品分類（1）,商品分類（2）,画像調整,,金額,製品詳細ページURL,受賞アイコン,,機能アイコン,,,,,,,,,カラー（単色）,,,,,,,,,カラー
,,,,,,,,テキスト,横幅（W）,奥行き（H）,深さ（D）,ボウル横幅（B-W),ボウル奥行,,,,,,,IF DESIGN AWARD,Reddot award,ACTIVE WAVE,COMFORT GLIDE,COMFORT WAVE,GYROSTREAM,HEAT PROTECT,MINI UNIT,SAFETY THERMO,SOFT FLOW,WARM SPA,MBL,MW,MBE,MGR,FG,MO,SR,AB,W,DEFAULT
SYSTEM_ID,PRODUCT_TYPE,PRODUCT_ID,COMBINATION_ID,SERIES_CATEGORY,SERIES,SHAPE_TEXT,SHAPE,SIZE,SIZE_W,SIZE_H,SIZE_D,SIZE_B-W,SIZE_B-H,CATEGORY_1,CATEGORY_2,IS_CHANGE_SERIES,IS_SEPARETE_COUNTER,PRICE,PRODUCT_URL,AWARD_01,AWARD_02,TECH_01,TECH_02,TECH_03,TECH_04,TECH_05,TECH_06,TECH_07,TECH_08,TECH_09,COLOUR_MBL,COLOUR_MW,COLOUR_MBE,COLOUR_MGR,COLOUR_FG,COLOUR_MO,COLOUR_SR,COLOUR_ABU,COLOUR_W,COLOUR_DEFAULT
89,lavatory,LW387B,,,,Vessel outset：Round,vessel_outset,,450,145,450,,,R,outset,,,,,,,,,,,,,,,,,,,,,,,,1,W
91,lavatory,LW716B,,,,Vessel outset：Square,vessel_outset,,550,165,420,,,S,outset,,,,,,,,,,,,,,,,,,,,,,,,1,W
92,lavatory,LW760LB,,,,Vessel outset：Round,vessel_outset,,500,138,421,,,R,outset,,,,,,,,,,,,,,,,,,,,,,,,1,W
93,lavatory,LW681B,,,,Vessel outset：Square,vessel_outset,,607,160,483,,,S,outset,,,,,,,,,,,,,,,,,,,,,,,,1,W
94,lavatory,PJS04W,,,,GALALATO,galalato,,450,160,450,,,R,outset,,,,,,,,,,,,,,,,,,,,,,,,1,W
96,lavatory,LW3716HB,,,,Vessel outset：Square,vessel_outset,,596,50,397,,,S,outset,,,,,,,,,,,,,,,,,,,,,,,,1,W
97,lavatory,LW3717HB,,,,Vessel outset：Square,vessel_outset,,746,50,448,,,S,outset,,,,,,,,,,,,,,,,,,,,,,,,1,W
99,lavatory,LW172Y,,,,Vessel inset：Square,vessel_inset,,900,62,470,,,S,inset,,,,,,,,,,,,,,,,,,,,,,,,1,W
101,lavatory,LW170Y,,,,Vessel inset：Square,vessel_inset,,600,75,470,,,S,inset,,,,,,,,,,,,,,,,,,,,,,,,1,W
102,lavatory,LW682B,,,,Vessel outset：Square,vessel_outset,,685,70,490,,,S,outset,,,,,,,,,,,,,,,,,,,,,,,,1,W
106,lavatory,LW710CSR,,,,Vessel inset：Square,vessel_inset,,500,70,450,,,S,inset,,,,,,,,,,,,,,,,,,,,,,,,1,W
362,lavatory,LT574,,,,Vessel outset：Square,vessel_outset,,420,125,420,,,S,outset,,,,,,,,,,,,,,,,,,,,,,,,1,W
363,lavatory,LT573,,,,Vessel outset：Round,vessel_outset,,420,125,420,,,R,outset,,,,,,,,,,,,,,,,,,,,,,,,1,W
365,lavatory,L1706,,,,Vessel outset：Round,vessel_outset,,400,125,400,,,R,outset,,,,,,,,,,,,,,,,,,,,,,,,1,W
366,lavatory,LW1315,,,,Semi-Reccesed：Square,semi_reccesed,,500,70,450,,,S,inset,,,,,,,,,,,,,,,,,,,,,,,,1,W
367,lavatory,LW1316,,,,Semi-Reccesed：Square,semi_reccesed,,550,70,450,,,S,inset,,,,,,,,,,,,,,,,,,,,,,,,1,W
368,lavatory,LW630,,,,Vessel inset：Square,vessel_outset,,600,110,370,,,S,outset,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,FG
369,lavatory,LW896,,,,Vessel outset：Round,vessel_outset,,620,130,430,,,R,outset,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,MO
