ID,製品カテゴリ,品番,管理番号,シリーズカテゴリ,シリーズ,シェイプ,,サイズ,,,,商品分類（1）,商品分類（2）,金額,製品詳細ページURL,受賞アイコン,,機能アイコン,,,,,,,,,,,,カラー（単色）,,,,,,,,,,,,,カラー（バイカラー）,,,,,,,,カラー
,,,,,,,,テキスト,横幅（W）,奥行き（H）,深さ（D）,,,,,IF DESIGN AWARD,Reddot award,ACTIVE WAVE,COMFORT GLIDE,COMFORT WAVE (over head shower),GYROSTREAM,HEAT PROTECT,MINI UNIT,SAFETY THERMO,SOFT FLOW,WARM SPA (over head shower),WARM SPA (hand shower),COMFORT WAVE (hand shower),INTENSE WAVE,PN,BN,PFG,BFG,PRG,BRG,PBR,BBR,PC,PBL,BBL,MBL,W,ZA：PN-BN,ZA：PC-BFG,ZA：PC-BRG,ZA：PC-BN,GF：BN-PN,GF：BBL-PBL,GF：BFG-PFG,GF：BRG-PRG,DEFAULT
SYSTEM_ID,PRODUCT_TYPE,PRODUCT_ID,COMBINATION_ID,SERIES_CATEGORY,SERIES,SHAPE_TEXT,SHAPE,SIZE,SIZE_W,SIZE_H,SIZE_D,CATEGORY_1,CATEGORY_2,PRICE,PRODUCT_URL,AWARD_01,AWARD_02,TECH_01,TECH_02,TECH_03,TECH_04,TECH_05,TECH_06,TECH_07,TECH_08,TECH_09,TECH_10,TECH_11,TECH_12,COLOUR_PN,COLOUR_BN,COLOUR_PFG,COLOUR_BFG,COLOUR_PRG,COLOUR_BRG,COLOUR_PBR,COLOUR_BBR,COLOUR_PC,COLOUR_PBL,COLOUR_BBL,COLOUR_MBL,COLOUR_W,COLOUR_PN-BN,COLOUR_PC-BFG,COLOUR_PC-BRG,COLOUR_PC-BN,COLOUR_BN-PN,COLOUR_BBL-PBL,COLOUR_BFG-PFG,COLOUR_BRG-PRG,COLOUR_DEFAULT
321,valve,TBV02102,VGS13,G,,Square,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
322,embedded-valve,TBN01103,VGR03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
323,hand-shower,TBW01017,HLR11,L,,Round,R,,,,,1mode,,,https://www.toto.com/en/gb_faucet/,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
324,over-head-shower,TBW01003B1,OGR1T,G,,Round,R,,,,,celling,,,https://www.toto.com/en/gb_faucet/,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
325,shower-elbow,TBW02013,AES1,,,Square,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
326,valve,TBV01104,VGR03,G,,Round,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
327,valve,TBV02103,VGS02,G,,Square,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
328,hand-shower,TBW01018,HLR51,L,,Round,R,,,,,3mode,,,https://www.toto.com/en/gb_faucet/,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
329,over-head-shower,TBW02003B1,OGS1T,G,,Square,S,,,,,celling,,,https://www.toto.com/en/gb_faucet/,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
330,valve,TBV02104,VGS03,G,,Square,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
331,controller,TBV02406,MGS9942B,G,,Square,S,,,,,switch,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
332,hand-shower,TBW03002,HLC51,L,,C,R,,,,,3mode,,,https://www.toto.com/en/gb_faucet/,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
333,over-head-shower,TBW01012,OLC1W,L,,C,R,,,,,wall,,,https://www.toto.com/en/gb_faucet/,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
334,controller,TBV02405,MGS9941B,G,,Square,S,,,,,switch,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
335,valve,TBV02105,VGS23,G,,Square,S,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
336,over-head-shower,TBW01013,OLR5W,L,,Round,R,,,,,wall,,,https://www.toto.com/en/gb_faucet/,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
337,over-head-shower,TBW03001,OLC5W,L,,C,R,,,,,wall,,,https://www.toto.com/en/gb_faucet/,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
